iter	Logloss
0	0.6765082163
1	0.6625251574
2	0.6497030045
3	0.638840915
4	0.6279579845
5	0.6203626674
6	0.6135591971
7	0.6070131023
8	0.5998613956
9	0.5944226836
10	0.5895066723
11	0.5852151964
12	0.5802308898
13	0.5761794022
14	0.5730101584
15	0.5698323393
16	0.5667488644
17	0.5643975896
18	0.562151156
19	0.5596216614
20	0.557471112
21	0.5550842344
22	0.5535131055
23	0.5513288471
24	0.5498789857
25	0.5486053433
26	0.5470523561
27	0.5457885144
28	0.5439821236
29	0.5428943235
30	0.5418166074
31	0.540893684
32	0.5400890893
33	0.5387792611
34	0.5380130375
35	0.5370209012
36	0.5356837553
37	0.5345307327
38	0.5336046788
39	0.5328412871
40	0.5322457115
41	0.531544377
42	0.5307779058
43	0.5302108291
44	0.5295892176
45	0.5291382945
46	0.5286275913
47	0.5279122153
48	0.5273647783
49	0.5269569863
50	0.526458694
51	0.5258377995
52	0.5253239352
53	0.5250587515
54	0.5245872615
55	0.5242640428
56	0.5237847466
57	0.5234152879
58	0.5228707277
59	0.5226506035
60	0.5222070636
61	0.5218919234
62	0.5215752476
63	0.5211609487
64	0.5208323801
65	0.5203197061
66	0.5199021855
67	0.5195197088
68	0.5191241265
69	0.5189157399
70	0.5186290457
71	0.5181552752
72	0.51755782
73	0.5173500012
74	0.5169859274
75	0.5166677605
76	0.5164786538
77	0.515938159
78	0.515422638
79	0.5151584831
80	0.5149065182
81	0.5145386257
82	0.5143774952
83	0.514091689
84	0.5138672409
85	0.5135573107
86	0.5133944318
87	0.5128692028
88	0.5125734664
89	0.5123319192
90	0.5121878507
91	0.511900068
92	0.5117195515
93	0.5114337252
94	0.5110420157
95	0.5109066738
96	0.5106152589
97	0.5103770703
98	0.5099669766
99	0.5095340283
100	0.509306217
101	0.5088957162
102	0.508736594
103	0.5085576814
104	0.5083626093
105	0.5080035421
106	0.5077681751
107	0.5074905682
108	0.507140099
109	0.5069438891
110	0.5067427495
111	0.5064695201
112	0.5062582407
113	0.5060794001
114	0.5056686709
115	0.5054691999
116	0.5052027477
117	0.504894393
118	0.5047025116
119	0.5044771079
120	0.5044021862
121	0.5042177033
122	0.5040411125
123	0.5036936139
124	0.5034967108
125	0.5033258389
126	0.5031787783
127	0.5030139392
128	0.5027611318
129	0.5024980913
130	0.5022320357
131	0.5020398087
132	0.5019656718
133	0.50180797
134	0.5016261524
135	0.5013689094
136	0.5011493682
137	0.5009244241
138	0.5007092165
139	0.5004654711
140	0.5003924975
141	0.5002315414
142	0.5000736147
143	0.499773431
144	0.4995974826
145	0.4993167336
146	0.499207673
147	0.4990424344
148	0.4989062217
149	0.4986092732
150	0.4984760718
151	0.4982698514
152	0.4981810265
153	0.49797127
154	0.4977285918
155	0.4974465392
156	0.4972645512
157	0.4971773952
158	0.4970752768
159	0.4968789041
160	0.4966894172
161	0.4965204951
162	0.4962950071
163	0.4961522705
164	0.4960322021
165	0.4959229759
166	0.495789749
167	0.4955726452
168	0.4954657283
169	0.4953016694
170	0.4951129208
171	0.494780555
172	0.494452032
173	0.4941509759
174	0.4939577095
175	0.4938144347
176	0.4935836721
177	0.4934859544
178	0.4932984451
179	0.4931050858
180	0.4929545171
181	0.4927370141
182	0.4925498739
183	0.4923344751
184	0.4920741385
185	0.4919603436
186	0.4918299951
187	0.4915597064
188	0.4913326928
189	0.4911154207
190	0.4908595279
191	0.4907612171
192	0.4905782563
193	0.4903272663
194	0.4901764822
195	0.4899824286
196	0.4898091225
197	0.4896438492
198	0.489521688
199	0.4893446811
200	0.4892332427
201	0.4889978115
202	0.4888178967
203	0.4886651038
204	0.4884356807
205	0.4883382169
206	0.4882301154
207	0.4881022007
208	0.4879280895
209	0.487729577
210	0.4875198903
211	0.4873225897
212	0.4872158479
213	0.4870362059
214	0.486802028
215	0.4866586637
216	0.4865148619
217	0.4863230741
218	0.4861190362
219	0.4859303358
220	0.4856979322
221	0.4854357166
222	0.4852727795
223	0.4850797891
224	0.4848392695
225	0.484690056
226	0.4845751739
227	0.4843570344
228	0.4842802277
229	0.4840370284
230	0.4838305986
231	0.4836468831
232	0.4834379274
233	0.4831808892
234	0.4829390358
235	0.4827089727
236	0.4825886382
237	0.4823898547
238	0.4822515717
239	0.482037396
240	0.4817550465
241	0.4816120414
242	0.4813860504
243	0.4812116955
244	0.48098056
245	0.4808590695
246	0.4806957981
